Código de censo,Observaciones
CT_200511,
CT_200512,
CT_200601,
CT_200602,
CT_200603,
CT_200604,
CT_200605,
CT_200606,
CT_200607,
CT_200608,
CT_200609,
CT_200610,
CT_200611,
CT_200612,
CT_200701,
CT_200702,
CT_200703,
CT_200704,
CT_200705,
CT_200706,
CT_200707,
CT_200708,
CT_200709,
CT_200710,
CT_200711,
CT_200712,
CT_200801,
CT_200802,
CT_200803,
CT_200804,
CT_200805,
CT_200806,
CT_200807,
CT_200808,
CT_200809,
CT_200810,
CT_200811,
CT_200812,
CT_200901,
CT_200902,
CT_200903,
CT_200904,
CT_200905,
CT_200906,
CT_200907,
CT_200908,
CT_200909,
CT_200910,
CT_200911,
CT_200912,
CT_201001,
CT_201002,
CT_201003,
CT_201004,
CT_201005,
CT_201006,
CT_201007,
CT_201008,
CT_201009,
CT_201010,
CT_201011,
CT_201012,
CT_201101,
CT_201102,
CT_201103,
CT_201104,
CT_201105,
CT_201106,
CT_201107,
CT_201108,
CT_201109,
CT_201110,
CT_201111,
CT_201112,
CT_201201,
CT_201202,
CT_201203,
CT_201204,
CT_201205,
CT_201206,
CT_201207,
CT_201208,
CT_201209,
CT_201210,
CT_201211,
CT_201212,
CT_201301,
CT_201302,
CT_201303,
CT_201304,
CT_201305,
CT_201306,
CT_201307,
CT_201309,
CT_201310,
CT_201311,
CT_201312,
CT_201401,
CT_201402,
CT_201403,
CT_201404,
CT_201405,
CT_201406,
CT_201407,
CT_201409,
CT_201410,
CT_201411,
CT_201412,
CT_201501,
CT_201502,
CT_201503,
CT_201504,
CT_201505,
CT_201506,"El Censo de Caracoles no se hace distinción entre zona este y oeste, por lo que los datos que aparecen en la localidad zona oeste incluyen los de la zona este."
CT_201507,
CT_201509,
CT_201510,
CT_201511,
CT_201512,
CT_201601,
CT_201602,
CT_201603,
CT_201604,
CT_201605,
CT_201606,
CT_201607,
CT_201609,
CT_201610,
CT_201611,
CT_201612,
CT_201701,
CT_201702,
CT_201703,
CT_201704,
CT_201705,
CT_201706,
CT_201707,
CT_201709,
CT_201710,
CT_201711,
CT_201712,
CT_201801,
CT_201802,
CT_201803,
CT_201804,
CT_201805,
CT_201806,
CT_201807,
CT_201809,
CT_201810,
CT_201811,
CT_201812,
CT_201901,
CT_201902,
CT_201903,
CT_201904,
CT_201905,
CT_201906,
CT_201907,
CT_201909,
CT_201910,
CT_201911,
CT_201912,
CT_202001,
CT_202002,
CT_202003,
CT_202004,
CT_202005,
CT_202006,
CT_202007,
CT_202009,
CT_202010,
CT_202011,
CT_202012,
CT_202101,
CT_202102,
CT_202103,
CT_202104,
CT_202105,
CT_202106,
CT_202107,
CT_202109,
CT_202110,
CT_202111,
CT_202112,
CT_202201,
CT_202202,
CT_202203,
CT_202204,
CT_202205,
CT_202206,
CT_202207,
CT_202209,
CT_202210,
CT_202211,
CT_202212,
CT_202301,
CT_202302,
CT_202303,
CT_202304,
CT_202305,
CT_202306,
CT_202307,
CT_202309,
CT_202310,
CT_202311,
CT_202312,
CT_202401,
CT_202402,
CT_202403,
CT_202404,
CT_202405,
CT_202406,
CT_202407,
CT_202409,
CT_202410,
CT_202411,
CT_202412,
CT_202501,
CT_202502,
CT_202503,
CT_202504,
CT_202505,
CT_202506,
CT_202507,
CT_202509,
CT_202510,
CT_202511,
CT_202512,
CT_202601,
