Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Se censa,Agua,Ambiente
CA_20050620,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Brazo De La Torre,True,Sí,Otros
CA_20050620,Parque Natural Norte,Arrozales De Puebla E Isla Mayor,Brazo De Los Pobres,True,Sí,Otros
CA_20050620,Parque Natural Norte,Brazo De La Torre Y Cantaritas,Cantaritas,True,Mucha,Arrozal
CA_20050620,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Del Buen Tiro,True,Sí,Marisma
CA_20050620,Parque Nacional De Doñana,Marisma De Hinojos,Caño Guadiamar PNAC,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,El Puntal,Caño Junquera A Veta Carrizosa,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Las Nuevas - Matochar,Caño Travieso,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Marismillas,De Aguas Rubias Al Hondón,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Marisma de Los Sotos,Marisma de Los Sotos,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Marisma De Hinojos,De Matasgordas A Resolimán,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Marisma RBD,Marisma RBD,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,El Puntal,Marisma de El Puntal,True,No,Marisma
CA_20050620,Parque Natural Norte,Entremuros,Entremuros De Los Pobres,True,Muy poca,Otros
CA_20050620,Parque Natural Norte,Otros Cultivos,La Sarteneja,True,Mucha,Arrozal
CA_20050620,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio De Los Ánsares,True,No,Marisma
CA_20050620,Veta La Palma,Veta La Palma,Lucio De Los Cangrejos,True,No,Otros
CA_20050620,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Chico,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio De Marilopez Grande,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucio Del Cangrejo Chico,True,No,Marisma
CA_20050620,Parque Natural Norte,Entremuros,Lucio Del Cangrejo Grande,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Marismillas,Lucio Del Hondón,True,Mucha,Marisma
CA_20050620,Veta La Palma,Veta La Palma,Lucio Del Hotel,True,Mucha,Otros
CA_20050620,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Chico,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Reserva Del Guadiamar,Lucio Del Lobo Grande,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Marismillas,Lucio Del Membrillo,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Norte Del Buen Tiro,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Las Nuevas - Matochar,Lucios Al Sur De Los Ánsares,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Marismillas,Lucios De Veta Lengua Y Aguas Rubias,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,El Puntal,Lucios Del Caballero y El Puntal,True,No,Marisma
CA_20050620,Parque Nacional De Doñana,Marismas Del Rocio Y Rocina,Marismas Del Rocío,True,Poca,Marisma
