Censo,Localidad nivel 1,Localidad nivel 2,Localidad nivel 3,Localidad nivel 4,Censadores,Fecha,Inicio,Fin,Nivel de agua,Viento,Temperatura,Visibilidad,Condiciones atmosféricas,Se censa,Con aves,Observaciones
CT_200512,Complejo lagunar de El Acebuche,Complejo lagunar de El Acebuche,Complejo lagunar de El Acebuche,Las Pajas,5,2005-12-21,,,,,,,,No,No,
CT_200512,Veta La Palma,Veta La Palma,Almajar Perimetral,Cultivos (El Turismo),,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"La localidad ""Cultivos (El Turismo)"" localidad empezó a censarse de forma recurrente en septiembre de 2022"
CT_200512,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Depuradora Loma de Martín Miguel,,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"La localidad ""Depuradora Loma de Martín Miguel"" empezó a censarse de forma recurrente en octubre de 2010"
CT_200512,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,Gravera junto a Dehesa de Abajo,17,,,,,,,,,No,No,No se ha realizado el censo
CT_200512,Parque Natural Norte,Dehesa De Abajo,Dehesa De Abajo,Lucio Dehesa de Abajo,17,,,,,,,,,No,No,No se ha realizado el censo
CT_200512,Veta La Palma,Veta La Palma,Cultivos De Tarfia,Cultivos de Tarfia,15,2005-12-12,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,Arrozales y eneal seco 100%
CT_200512,Veta La Palma,Veta La Palma,Lucio Del Bocón,Lucio Del Bocón,3,2005-12-12,09:00:00,14:30:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,Oxyura leucocephala: Bocón no se especifica sexo.
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C5,6,2005-12-12,11:48:00,12:00:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,Oxyura leucocephala: 2 ♂♂
CT_200512,Veta La Palma,Veta La Palma,Balsas CDE,C7,6,2005-12-12,12:35:00,12:47:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,O. leucocephala: 1 ♂ y 1 ♀
CT_200512,Veta La Palma,Veta La Palma,El Italiano,El Italiano,15,2005-12-12,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,Arrozales secos 100%
CT_200512,Veta La Palma,Veta La Palma,Gavetas,Gaveta 1,3,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,P. minor adulto
CT_200512,Veta La Palma,Veta La Palma,Gavetas,Gaveta 2,3,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,C. hybridus inmaduros
CT_200512,Veta La Palma,Veta La Palma,Gavetas,Gaveta 4,18,2005-12-12,,,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,Oxyura leucocephala:  44 ♂♂ y 33 ♀♀.
CT_200512,Parque Natural Norte,Hato Blanco,Hato Blanco,Hato Blanco Nuevo,15,2005-12-14,,,Seco (0),Moderado (2),Frío (1),Despejado (1),Nubes (2),Sí,Sí,100% seco
CT_200512,Parque Natural Norte,Hato Blanco,Hato Blanco,Hato Blanco Viejo,15,2005-12-14,,,Casi seco (1),Moderado (2),Frío (1),Despejado (1),Nubes (2),Sí,Sí,90% seco 10% 0-5cm. 
CT_200512,Parque Natural Norte,Marismas del Coto del Rey,Marismas del Coto del Rey,Marisma Gallega,15,2005-12-14,09:00:00,12:50:00,Seco (0),Moderado (2),Frío (1),Despejado (1),Nubes (2),Sí,No,100% seco
CT_200512,Parque Natural Norte,Guadiamar Encauzado,Caño Guadiamar PNAT,Veta Hornito,15,2005-12-14,,,Seco (0),Moderado (2),Frío (1),Despejado (1),Nubes (2),Sí,No,100% seco
CT_200512,Parque Nacional De Doñana,Los Caracoles,Los Caracoles,,15,2005-12-15,09:00:00,11:00:00,Seco (0),Moderado (2),Frío (1),Despejado (1),Sol (1),Sí,Sí,No se establece la división entre zona este u oeste
CT_200512,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Áreas marismeñas de Sanlúcar de Barrameda y Trebujena,Codo de la Esparraguera,18,2005-12-07,09:40:00,14:00:00,Medio (3),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,Sí,
CT_200512,Parque Nacional De Doñana,Los Mimbrales,Los Mimbrales,Mimbrales (Sur),5,2005-12-21,,,Seco (0),Sin viento (1),Frío (1),Despejado (1),Sol (1),Sí,No,
CT_200512,Margen Izquierda del Guadalquivir,Margen Izquierda del Guadalquivir,Brazo del Este,Margazuela Chica,,,,,Desconocido (6),Desconocido (0),Desconocido (0),Desconocido (0),Desconocido (0),No,No,"Durante este periodo, esta localidad se censaba sin desglosar, bajo el nombre de 'Margazuela'."
