"hydro_year","Especie","Localidad nivel 4","max_abundance"
2005,"Accipiter nisus","Marismas Del Rocío",1
2005,"Actitis hypoleucos","A2",9
2005,"Actitis hypoleucos","A3",1
2005,"Actitis hypoleucos","A5",1
2005,"Actitis hypoleucos","Almajales perimetrales",1
2005,"Actitis hypoleucos","Arrozal Norte I. Mayor+I. Mínima",1
2005,"Actitis hypoleucos","Arrozal sur Isla Mayor",2
2005,"Actitis hypoleucos","B1",2
2005,"Actitis hypoleucos","B2",1
2005,"Actitis hypoleucos","B5",1
2005,"Actitis hypoleucos","C0",1
2005,"Actitis hypoleucos","C1",1
2005,"Actitis hypoleucos","C3",2
2005,"Actitis hypoleucos","C5",1
2005,"Actitis hypoleucos","C6",1
2005,"Actitis hypoleucos","D3",1
2005,"Actitis hypoleucos","D4",2
2005,"Actitis hypoleucos","El Conde",1
2005,"Actitis hypoleucos","Entremuros (Zona 1)",1
2005,"Actitis hypoleucos","Esparragosilla",2
2005,"Actitis hypoleucos","Gaveta 2",3
2005,"Actitis hypoleucos","Gaveta 3",2
2005,"Actitis hypoleucos","Isla Menor",1
2005,"Actitis hypoleucos","Marismas Del Rocío",2
2005,"Alcedo atthis","Almajales perimetrales",1
2005,"Alcedo atthis","Codo de la Esparraguera",1
2005,"Alcedo atthis","Hato Blanco Nuevo",1
2005,"Alcedo atthis","Isla Menor",1
2005,"Anas acuta","A4",20
2005,"Anas acuta","Arrozal Norte I. Mayor+I. Mínima",4
2005,"Anas acuta","B2",10
2005,"Anas acuta","B6",20
2005,"Anas acuta","C4",40
2005,"Anas acuta","C5",30
2005,"Anas acuta","C7",5
2005,"Anas acuta","Cantarita",70
2005,"Anas acuta","Capitán",1
2005,"Anas acuta","Cuquero Chico",50
2005,"Anas acuta","Cuquero Grande",8000
2005,"Anas acuta","D4",1
2005,"Anas acuta","D6",250
2005,"Anas acuta","E4",10
2005,"Anas acuta","El Cestero",15
2005,"Anas acuta","Esparragosilla",20
2005,"Anas acuta","Gaveta 1",10000
2005,"Anas acuta","Gaveta 2",5000
2005,"Anas acuta","Gaveta 3",30
2005,"Anas acuta","Gaveta 4",10
2005,"Anas acuta","Isla Menor",25
2005,"Anas acuta","La Rocina",5
2005,"Anas acuta","Lucio Del Bocón",23200
2005,"Anas acuta","Marismas Del Rocío",300
2005,"Anas acuta","Olivillos",1
2005,"Anas acuta","Santa Olalla",20
2005,"Anas crecca","A2",70
2005,"Anas crecca","A4",15
2005,"Anas crecca","A5",120
2005,"Anas crecca","A7",750
2005,"Anas crecca","A8",30
2005,"Anas crecca","Almajales perimetrales",20
2005,"Anas crecca","B5",700
2005,"Anas crecca","B6",6
2005,"Anas crecca","Bomba de Pantomima",125
2005,"Anas crecca","Brazo de la Torre",3
2005,"Anas crecca","C0",14
2005,"Anas crecca","C2",100
2005,"Anas crecca","C8",2500
2005,"Anas crecca","Capitán",55
2005,"Anas crecca","Caño Navarro",80
2005,"Anas crecca","Codo de la Esparraguera",30
2005,"Anas crecca","Corta Isleta de Coria",75
2005,"Anas crecca","Cuquero Chico",4000
2005,"Anas crecca","Cuquero Grande",500
2005,"Anas crecca","D3",15
2005,"Anas crecca","D6",200
2005,"Anas crecca","Dulce",71
2005,"Anas crecca","E4",10
2005,"Anas crecca","El Conde",125
2005,"Anas crecca","El Convento",20
2005,"Anas crecca","Entremuros (Zona 4)",200
2005,"Anas crecca","Esparragosilla",25
2005,"Anas crecca","Gaveta 1",1000
2005,"Anas crecca","Gaveta 2",200
2005,"Anas crecca","Gaveta 3",55
2005,"Anas crecca","Gaveta 4",200
2005,"Anas crecca","Hato Blanco Nuevo",2
2005,"Anas crecca","Isla Menor",15
2005,"Anas crecca","Laguna Las Pajas",170
2005,"Anas crecca","Los Portugueses",40
2005,"Anas crecca","Lucio Cortijo (El Turismo)",200
2005,"Anas crecca","Lucio Dehesa de Abajo",600
2005,"Anas crecca","Lucio Del Bocón",14500
2005,"Anas crecca","Lucio del Lobo Grande",180
2005,"Anas crecca","Lucios FAO",400
2005,"Anas crecca","Margazuela",25
2005,"Anas crecca","Marilópez Grande",20
2005,"Anas crecca","Marismas Del Rocío",3000
2005,"Anas crecca","Olivillos",10
2005,"Anas crecca","Santa Olalla",959
2005,"Anas crecca","Tijeras",1
2005,"Anas platyrhynchos","A1",90
2005,"Anas platyrhynchos","A2",350
2005,"Anas platyrhynchos","A3",2600
2005,"Anas platyrhynchos","A4",5100
2005,"Anas platyrhynchos","A5",1900
2005,"Anas platyrhynchos","A6",130
2005,"Anas platyrhynchos","A7",350
2005,"Anas platyrhynchos","A8",29
2005,"Anas platyrhynchos","Acebuche",57
2005,"Anas platyrhynchos","Almajales perimetrales",501
2005,"Anas platyrhynchos","Arrozal Norte I. Mayor+I. Mínima",42
2005,"Anas platyrhynchos","Arrozal sur Isla Mayor",14
2005,"Anas platyrhynchos","B1",80
2005,"Anas platyrhynchos","B2",540
2005,"Anas platyrhynchos","B3",1700
2005,"Anas platyrhynchos","B4",150
2005,"Anas platyrhynchos","B5",930
2005,"Anas platyrhynchos","B6",65
2005,"Anas platyrhynchos","B7",180
2005,"Anas platyrhynchos","B8",120
2005,"Anas platyrhynchos","B9",20
2005,"Anas platyrhynchos","Bomba de Pantomima",15
2005,"Anas platyrhynchos","Brazo de la Torre",20
2005,"Anas platyrhynchos","C0",120
2005,"Anas platyrhynchos","C1",110
2005,"Anas platyrhynchos","C2",245
2005,"Anas platyrhynchos","C3",275
2005,"Anas platyrhynchos","C4",125
2005,"Anas platyrhynchos","C5",300
2005,"Anas platyrhynchos","C6",100
2005,"Anas platyrhynchos","C7",175
2005,"Anas platyrhynchos","C8",50
2005,"Anas platyrhynchos","Cantarita",73
2005,"Anas platyrhynchos","Capitán",47
2005,"Anas platyrhynchos","Caño Navarro",80
2005,"Anas platyrhynchos","Codo de la Esparraguera",10
2005,"Anas platyrhynchos","Corta Isleta de Coria",100
2005,"Anas platyrhynchos","Cuquero Chico",5150
2005,"Anas platyrhynchos","Cuquero Grande",200
2005,"Anas platyrhynchos","D3",300
2005,"Anas platyrhynchos","D4",70
2005,"Anas platyrhynchos","D5",310
2005,"Anas platyrhynchos","D6",30
2005,"Anas platyrhynchos","Dulce",110
2005,"Anas platyrhynchos","E3",125
2005,"Anas platyrhynchos","E4",325
2005,"Anas platyrhynchos","El Cestero",3
2005,"Anas platyrhynchos","El Conde",48
2005,"Anas platyrhynchos","El Convento",45
2005,"Anas platyrhynchos","El Italiano",11
2005,"Anas platyrhynchos","Entremuros (Zona 1)",20
2005,"Anas platyrhynchos","Entremuros (Zona 2)",15
2005,"Anas platyrhynchos","Entremuros (Zona 3)",325
2005,"Anas platyrhynchos","Entremuros (Zona 4)",62
2005,"Anas platyrhynchos","Esparragosilla",750
2005,"Anas platyrhynchos","Gaveta 1",7500
2005,"Anas platyrhynchos","Gaveta 2",4200
2005,"Anas platyrhynchos","Gaveta 3",1520
2005,"Anas platyrhynchos","Gaveta 4",950
2005,"Anas platyrhynchos","Hato Blanco Nuevo",6
2005,"Anas platyrhynchos","Hato Blanco Viejo",10
2005,"Anas platyrhynchos","Isla Menor",175
2005,"Anas platyrhynchos","La Rocina",50
2005,"Anas platyrhynchos","Laguna de Tarelo",51
2005,"Anas platyrhynchos","Lagunas de Bonanza",3
2005,"Anas platyrhynchos","Los Portugueses",40
2005,"Anas platyrhynchos","Lucio Cortijo (El Turismo)",200
2005,"Anas platyrhynchos","Lucio Dehesa de Abajo",850
2005,"Anas platyrhynchos","Lucio Del Bocón",4000
2005,"Anas platyrhynchos","Lucio del Lobo Grande",300
2005,"Anas platyrhynchos","Lucios FAO",687
2005,"Anas platyrhynchos","Margazuela",131
2005,"Anas platyrhynchos","Marilópez Grande",100
2005,"Anas platyrhynchos","Marismas Del Rocío",300
2005,"Anas platyrhynchos","Olivillos",190
2005,"Anas platyrhynchos","Río Guadaira",115
2005,"Anas platyrhynchos","Santa Olalla",248
2005,"Anas platyrhynchos","Tijeras",95
2005,"Anser anser","A2",9
2005,"Anser anser","A3",8
2005,"Anser anser","A4",24
2005,"Anser anser","A5",8
2005,"Anser anser","A6",45
2005,"Anser anser","A7",8
2005,"Anser anser","A8",8
2005,"Anser anser","Almajales perimetrales",1052
2005,"Anser anser","Arrozal Norte I. Mayor+I. Mínima",25
2005,"Anser anser","Arrozal sur Isla Mayor",6
2005,"Anser anser","B5",10
2005,"Anser anser","B6",10
2005,"Anser anser","B8",2
2005,"Anser anser","C2",6
2005,"Anser anser","C3",15
2005,"Anser anser","C4",6
2005,"Anser anser","C5",9
2005,"Anser anser","C8",15
2005,"Anser anser","Cantarita",5600
2005,"Anser anser","Cultivos de Tarfia",570
2005,"Anser anser","Cuquero Chico",300
2005,"Anser anser","Cuquero Grande",500
2005,"Anser anser","D4",4
2005,"Anser anser","D5",12
2005,"Anser anser","Dulce",120
2005,"Anser anser","El Italiano",2000
2005,"Anser anser","Entremuros (Zona 1)",150
2005,"Anser anser","Entremuros (Zona 3)",10
2005,"Anser anser","Esparragosilla",22
2005,"Anser anser","Gaveta 1",15
2005,"Anser anser","Hato Blanco Nuevo",1494
2005,"Anser anser","Hato Blanco Viejo",3950
2005,"Anser anser","Isla Menor",300
2005,"Anser anser","Laguna Las Pajas",119
2005,"Anser anser","Lucio Dehesa de Abajo",360
2005,"Anser anser","Lucio Del Bocón",50
2005,"Anser anser","Lucio del Lobo Grande",20
2005,"Anser anser","Lucios FAO",220
2005,"Anser anser","Marilópez Grande",15000
2005,"Anser anser","Marismas Del Rocío",1300
2005,"Anser anser","Santa Olalla",50
2005,"Anser anser",NA,44000
2005,"Ardea alba","Almajales perimetrales",9
2005,"Ardea alba","Arrozal Norte I. Mayor+I. Mínima",3
2005,"Ardea alba","Arrozal sur Isla Mayor",12
2005,"Ardea alba","Brazo de la Torre",2
2005,"Ardea alba","Cantarita",4
2005,"Ardea alba","Capitán",1
2005,"Ardea alba","Caño Navarro",6
2005,"Ardea alba","Cuquero Grande",2
2005,"Ardea alba","El Cestero",3
2005,"Ardea alba","El Conde",16
2005,"Ardea alba","El Convento",1
2005,"Ardea alba","El Italiano",1
